"dt","k","v"
2013-03-31,"lg.visits",1725827
2013-04-01,"lg.visits",1930250
2013-04-02,"lg.visits",1724775
2013-04-03,"lg.visits",1665799
2013-04-04,"lg.visits",1730834
2013-04-05,"lg.visits",1894947
2013-04-06,"lg.visits",1553546
2013-04-07,"lg.visits",1690491
2013-04-08,"lg.visits",1675313
2013-04-09,"lg.visits",1572335
2013-04-10,"lg.visits",1565444
2013-04-11,"lg.visits",1561055
2013-04-12,"lg.visits",1552089
2013-04-13,"lg.visits",1437763
2013-04-14,"lg.visits",1731717
2013-04-15,"lg.visits",1614202
2013-04-16,"lg.visits",1551409
2013-04-17,"lg.visits",1501396
2013-04-18,"lg.visits",1466909
2013-04-19,"lg.visits",1483111
2013-04-20,"lg.visits",1411421
2013-04-21,"lg.visits",1738359
2013-04-22,"lg.visits",1622168
2013-04-23,"lg.visits",1571273
2013-04-24,"lg.visits",1681508
2013-04-25,"lg.visits",1515054
2013-04-26,"lg.visits",1659717
2013-04-27,"lg.visits",1495404
2013-04-28,"lg.visits",1666577
2013-04-29,"lg.visits",1662162
2013-04-30,"lg.visits",1602382
2013-05-01,"lg.visits",1673798
2013-05-02,"lg.visits",1554506
2013-05-03,"lg.visits",1938065
2013-05-04,"lg.visits",1488976
2013-05-05,"lg.visits",1592890
2013-05-06,"lg.visits",1677512
2013-05-07,"lg.visits",1574004
2013-05-08,"lg.visits",1536877
2013-05-09,"lg.visits",1672247
2013-05-10,"lg.visits",1559087
2013-05-11,"lg.visits",1558602
2013-05-12,"lg.visits",1553677
2013-05-13,"lg.visits",1630445
2013-05-14,"lg.visits",1522713
2013-05-15,"lg.visits",1576599
2013-05-16,"lg.visits",1486043
2013-05-17,"lg.visits",1485981
2013-05-18,"lg.visits",1380483
2013-05-19,"lg.visits",1651013
2013-05-20,"lg.visits",1656149
2013-05-21,"lg.visits",1691298
2013-05-22,"lg.visits",1667678
2013-05-23,"lg.visits",1722574
2013-05-24,"lg.visits",1839189
2013-05-25,"lg.visits",1638458
2013-05-26,"lg.visits",1721135
2013-05-27,"lg.visits",1754593
2013-05-28,"lg.visits",1717292
2013-05-29,"lg.visits",1636179
2013-05-30,"lg.visits",1579420
2013-05-31,"lg.visits",1658105
2013-06-01,"lg.visits",1499903
2013-06-02,"lg.visits",1686573
2013-06-03,"lg.visits",1735144
2013-06-04,"lg.visits",1849048
2013-06-05,"lg.visits",1859784
2013-06-06,"lg.visits",1814174
2013-06-07,"lg.visits",1973926
2013-06-08,"lg.visits",1507335
2013-06-09,"lg.visits",1695769
2013-06-10,"lg.visits",1902262
2013-06-11,"lg.visits",2064597
2013-06-12,"lg.visits",2075503
2013-06-13,"lg.visits",1965181
2013-06-14,"lg.visits",2124178
2013-06-15,"lg.visits",1679603
2013-06-16,"lg.visits",1814136
2013-06-17,"lg.visits",1912656
2013-06-18,"lg.visits",1830301
2013-06-19,"lg.visits",1731859
2013-06-20,"lg.visits",1790473
2013-06-21,"lg.visits",1785886
2013-06-22,"lg.visits",1619109
2013-06-23,"lg.visits",1897236
2013-06-24,"lg.visits",1942006
2013-06-25,"lg.visits",1892698
2013-06-26,"lg.visits",1830110
2013-06-27,"lg.visits",1770215
2013-06-28,"lg.visits",1864927
2013-06-29,"lg.visits",1702473
2013-06-30,"lg.visits",1991679
2013-07-01,"lg.visits",2088198
2013-07-02,"lg.visits",2025811
2013-07-03,"lg.visits",2064184
2013-07-04,"lg.visits",1729751
2013-07-05,"lg.visits",2022421
2013-07-06,"lg.visits",1698856
2013-07-07,"lg.visits",1905350
2013-07-08,"lg.visits",1930089
2013-07-09,"lg.visits",1858298
2013-07-10,"lg.visits",1755624
2013-07-11,"lg.visits",1913372
2013-07-12,"lg.visits",1945813
2013-07-13,"lg.visits",1590161
2013-07-14,"lg.visits",1787251
2013-07-15,"lg.visits",1885107
2013-07-16,"lg.visits",1795158
2013-07-17,"lg.visits",1789711
2013-07-18,"lg.visits",1705708
2013-07-19,"lg.visits",1696635
2013-07-20,"lg.visits",1646465
2013-07-21,"lg.visits",1781837
2013-07-22,"lg.visits",1887443
2013-07-23,"lg.visits",1882273
2013-07-24,"lg.visits",2013139
2013-07-25,"lg.visits",2451970
2013-07-26,"lg.visits",2787353
2013-07-27,"lg.visits",2119235
2013-07-28,"lg.visits",2030845
2013-07-29,"lg.visits",2070870
2013-07-30,"lg.visits",1998049
2013-07-31,"lg.visits",2028710
2013-08-01,"lg.visits",2060268
2013-08-02,"lg.visits",2134053
2013-08-03,"lg.visits",1968803
2013-08-04,"lg.visits",2043530
2013-08-05,"lg.visits",2064617
2013-08-06,"lg.visits",1927532
2013-08-07,"lg.visits",1844033
2013-08-08,"lg.visits",1790929
2013-08-09,"lg.visits",1861410
2013-08-10,"lg.visits",1726487
